Seed,Dataset,Model,HyperOpt params
2,bank_marketing,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.140028008402801, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,bank_marketing,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.140028008402801, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,bank_marketing,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.140028008402801, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,bank_marketing,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.140028008402801, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,numerai28.6,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.21821789023599236, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,numerai28.6,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.21821789023599236, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,numerai28.6,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.21821789023599236, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,numerai28.6,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.21821789023599236, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,numerai28.6,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.21821789023599236, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,jasmine,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.08333333333333333, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,jasmine,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.08333333333333333, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,jasmine,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.08333333333333333, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,jasmine,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.08333333333333333, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,jasmine,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.08333333333333333, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,connect-4,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 3, 'colsample_bynode': 0.1543033499620919, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,connect-4,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 3, 'colsample_bynode': 0.1543033499620919, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,connect-4,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 3, 'colsample_bynode': 0.1543033499620919, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,connect-4,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 3, 'colsample_bynode': 0.1543033499620919, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,connect-4,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 3, 'colsample_bynode': 0.1543033499620919, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,fabert,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 7, 'colsample_bynode': 0.035355339059327376, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,fabert,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 7, 'colsample_bynode': 0.035355339059327376, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,fabert,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 7, 'colsample_bynode': 0.035355339059327376, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,fabert,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 7, 'colsample_bynode': 0.035355339059327376, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,fabert,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 7, 'colsample_bynode': 0.035355339059327376, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,higgs,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.18898223650461363, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,higgs,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.18898223650461363, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,higgs,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.18898223650461363, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,higgs,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.18898223650461363, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,higgs,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.18898223650461363, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,miniboone,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.1414213562373095, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,miniboone,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.1414213562373095, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,miniboone,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.1414213562373095, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,miniboone,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.1414213562373095, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,miniboone,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.1414213562373095, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,jannis,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 4, 'colsample_bynode': 0.13608276348795434, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,jannis,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 4, 'colsample_bynode': 0.13608276348795434, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,jannis,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 4, 'colsample_bynode': 0.13608276348795434, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,jannis,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 4, 'colsample_bynode': 0.13608276348795434, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,jannis,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 4, 'colsample_bynode': 0.13608276348795434, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,australian,xgb,"{'lambda': '0.0498', 'gamma': '0.0599', 'subsample': '0.8194', 'colsample_bytree': '0.8266', 'max_depth': '5.0000', 'eta': '0.0043', 'scale_pos_weight': '1.0166'}"
3,australian,xgb,"{'lambda': '0.8813', 'gamma': '0.9826', 'subsample': '0.8824', 'colsample_bytree': '0.9712', 'max_depth': '5.0000', 'eta': '0.0441', 'scale_pos_weight': '1.0028'}"
2,australian,xgb,"{'lambda': '0.1550', 'gamma': '0.3342', 'subsample': '0.8635', 'colsample_bytree': '0.7545', 'max_depth': '11.0000', 'eta': '0.0458', 'scale_pos_weight': '1.0554'}"
5,australian,xgb,"{'lambda': '0.0000', 'gamma': '0.8855', 'subsample': '0.7718', 'colsample_bytree': '0.7409', 'max_depth': '11.0000', 'eta': '0.0040', 'scale_pos_weight': '1.0268'}"
2,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,jasmine,xgb,"{'lambda': '0.0002', 'gamma': '0.0000', 'subsample': '0.7799', 'colsample_bytree': '0.7289', 'max_depth': '9.0000', 'eta': '0.0206', 'scale_pos_weight': '1.0000'}"
4,jasmine,xgb,"{'lambda': '0.0000', 'gamma': '0.1897', 'subsample': '0.8495', 'colsample_bytree': '0.6989', 'max_depth': '11.0000', 'eta': '0.0041', 'scale_pos_weight': '1.0000'}"
3,jasmine,xgb,"{'lambda': '0.0283', 'gamma': '0.7209', 'subsample': '0.8784', 'colsample_bytree': '0.8290', 'max_depth': '11.0000', 'eta': '0.0012', 'scale_pos_weight': '1.0000'}"
3,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
5,jasmine,xgb,"{'lambda': '0.0180', 'gamma': '0.0000', 'subsample': '0.7398', 'colsample_bytree': '0.6975', 'max_depth': '7.0000', 'eta': '0.0011', 'scale_pos_weight': '1.0000'}"
2,kc,xgb,"{'lambda': '0.5584', 'gamma': '0.0000', 'subsample': '0.9389', 'colsample_bytree': '0.3047', 'max_depth': '3.0000', 'eta': '0.0035', 'scale_pos_weight': '1.0662'}"
3,kc,xgb,"{'lambda': '0.1160', 'gamma': '0.0000', 'subsample': '0.7481', 'colsample_bytree': '0.9457', 'max_depth': '3.0000', 'eta': '0.0386', 'scale_pos_weight': '2.3394'}"
4,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,kc,xgb,"{'lambda': '0.0000', 'gamma': '0.0366', 'subsample': '0.7854', 'colsample_bytree': '0.9708', 'max_depth': '3.0000', 'eta': '0.0011', 'scale_pos_weight': '2.2888'}"
5,kc,xgb,"{'lambda': '0.0006', 'gamma': '0.0000', 'subsample': '0.7469', 'colsample_bytree': '0.5194', 'max_depth': '3.0000', 'eta': '0.0010', 'scale_pos_weight': '2.8147'}"
5,adult,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.09667364890456637, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
3,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
2,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
4,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,fabert,random_forest,"{'verbosity': 0, 'objective': 'multi:softprob', 'num_class': 7, 'colsample_bynode': 0.035355339059327376, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
